c,h,l,n,o,t,v,vw
59236.1,59297.32,59153.2275,0,59297.32,2024-05-01T07:05:00Z,0.0,0.0
59145.34,59202.44,59124.415,0,59202.44,2024-05-01T07:06:00Z,0.0,0.0
59057.4,59142.905,59051.885,0,59105.2275,2024-05-01T07:07:00Z,0.0,0.0
58407.45,59016.55,58407.45,0,59016.55,2024-05-01T07:08:00Z,0.0,0.0
58436.925,58456.5475,58240.855,0,58376.2815,2024-05-01T07:09:00Z,0.0,0.0
58565.0625,58585.737,58409.153,0,58475.977,2024-05-01T07:10:00Z,0.0,0.0
58426.355,58536.6,58391.857,0,58526.84,2024-05-01T07:11:00Z,0.0,0.0
58622.6,58622.6,58441.3345,0,58470.223,2024-05-01T07:12:00Z,0.0,0.0
58600.2555,58720.915,58600.2555,0,58642.2805,2024-05-01T07:13:00Z,0.0,0.0
58517.8525,58583.5,58517.8525,0,58561.685,2024-05-01T07:14:00Z,0.0,0.0
58442.155,58487.59,58350.595,0,58487.59,2024-05-01T07:15:00Z,0.0,0.0
58611.3265,58636.619,58411.7,0,58411.7,2024-05-01T07:16:00Z,0.0,0.0
58528.904,58571.0085,58398.2835,0,58571.0085,2024-05-01T07:17:00Z,0.0,0.0
58417.149,58502.932,58379.72,0,58502.932,2024-05-01T07:18:00Z,0.0,0.0
58423.935,58423.935,58301.84,0,58381.2105,2024-05-01T07:19:00Z,0.0,0.0
58313.0795,58385.07,58313.0795,0,58385.07,2024-05-01T07:20:00Z,0.0,0.0
58401.957,58401.957,58291.6975,0,58291.6975,2024-05-01T07:21:00Z,0.0,0.0
